SHG Code,SHG Name,State,District,Block,Primary Livelihoods,Secondary Livelihoods,Active Members,Savings Amount,SHG Category,cluster_label
4000935418,AGDALA JANAKALYAN GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,12,40,GEN,0
4000933682,AGDOLA JANANI SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,11,25,GEN,0
4000933960,AGDOLA MILIJULI GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,50,GEN,0
4000934564,AGDOLA NAHAR SHG,ASSAM,KAMRUP,BEZERA,-,-,6,40,GEN,4
4000935776,AGDOLA RUPAHI GOT,ASSAM,KAMRUP,BEZERA,manufacturing,livestock,11,25,SC,2
4000935487,AGDOLA SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,OTH,4
4000933800,APARUPA AATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,25,GEN,0
4000935223,APARUPA SWA SAHARYA GOT,ASSAM,KAMRUP,BEZERA,-,-,11,20,OTH,4
4000934834,ARUNJYOTI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,livestock,manufacturing,10,25,GEN,0
4000934932,ASHAPURNA,ASSAM,KAMRUP,BEZERA,-,-,13,20,GEN,4
4000934194,ASHIRBAD,ASSAM,KAMRUP,BEZERA,manufacturing,livestock,12,25,OBC,2
4000935234,ASHIRBAD,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,25,SC,0
4000933774,ASOM JYOTI,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000935619,BHOURA DANGYARIYA,ASSAM,KAMRUP,BEZERA,-,-,12,20,GEN,4
4000934868,BISHNUJYOTI SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,SC,4
4000934156,BISHNUJYOTI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000935642,CHANDRAMA  SHG,ASSAM,KAMRUP,BEZERA,-,-,11,50,-,4
4000934346,DHARITRI,ASSAM,KAMRUP,BEZERA,-,-,10,20,GEN,4
4000933987,GOG CHANDRAMUKHI,ASSAM,KAMRUP,BEZERA,-,-,10,20,GEN,4
4000934037,J. B. ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,9,50,OTH,4
4000935494,JAN JAGRITI,ASSAM,KAMRUP,BEZERA,services,livestock,12,50,OBC,9
4000934899,JANTARA,ASSAM,KAMRUP,BEZERA,-,-,10,20,GEN,4
4000934139,JONAKI,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000934852,JONALI SHG,ASSAM,KAMRUP,BEZERA,livestock,-,11,25,GEN,0
4000934796,JOTI MAHILA,ASSAM,KAMRUP,BEZERA,-,-,13,25,GEN,4
4000935528,JYOTIRUPA SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,SC,4
4000933761,KALYANI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,livestock,manufacturing,11,25,OBC,0
4000934380,KALYANI ATMA SHG,ASSAM,KAMRUP,BEZERA,-,-,10,40,OBC,4
4000934777,LAKHMI GOT,ASSAM,KAMRUP,BEZERA,livestock,agriculture,10,25,OTH,0
4000935070,LAKSHMI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000933580,LAKSHMI SELP HELP GROUP,ASSAM,KAMRUP,BEZERA,-,-,12,20,GEN,4
4000934555,MA DURGA,ASSAM,KAMRUP,BEZERA,-,-,10,20,GEN,4
4000934658,MAA MANASA S H G,ASSAM,KAMRUP,BEZERA,livestock,livestock,12,25,GEN,0
4000934187,MAHAPRABHU,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000935748,MANISHA,ASSAM,KAMRUP,BEZERA,-,-,11,20,GEN,4
4000934322,MASANDORI ASG,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000934085,MILANJYOTI SHG,ASSAM,KAMRUP,BEZERA,agriculture,livestock,11,25,GEN,1
4000934282,MILIJULI SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000933607,MOUSUMI,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000935425,MR KISSAN SELP HELP GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,11,25,SC,0
4000933837,MUKTI GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,12,25,GEN,0
4000933551,NABAJYOTI SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000934691,NARJI SELF HELP GROUP,ASSAM,KAMRUP,BEZERA,-,-,10,20,GEN,4
4000933939,NARMADA,ASSAM,KAMRUP,BEZERA,-,-,12,20,GEN,4
4000933863,P/S ASHA,ASSAM,KAMRUP,BEZERA,-,-,11,20,GEN,4
4000934461,PRAGATI MAHILA GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,25,SC,0
4000934572,PUJA ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,13,20,OTH,4
4000934118,PURNIMA,ASSAM,KAMRUP,BEZERA,-,-,12,20,GEN,4
4000935571,RADHA KRISHNA,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000934984,RAMKRISHNA SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000933624,RANDANI CHUBURI,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000933788,RANGDHALI,ASSAM,KAMRUP,BEZERA,agriculture,-,11,25,GEN,1
4000935711,RENGONI,ASSAM,KAMRUP,BEZERA,-,-,13,25,GEN,4
4000935321,RIMJIM,ASSAM,KAMRUP,BEZERA,services,manufacturing,12,40,GEN,9
4000935690,RUPALIM ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,12,25,GEN,0
4000935603,RUPJYOTI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
